particle_id,neighbours_ids
0,67-2-48-87-80-46-93-96-87-44
1,99-65-72-43-57-21-72
2,84-4-59-81-48-44-37-0-87-67-48
3,80-25-7-26-25-51
4,43-57-33-59-81-2-48-67-84-59-81
5,11-40-82-70
6,30-66-69
7,78-82-3-25-51-70
8,18-30-66
9,68-62-74-68
10,58-73-83-16-60-76-29
11,5-40-58-73-83-40
12,49-54-98-31-55-19-39-86-94-85-55
13,90-41-64-36-64
14,95-60-76-29
15,28-71-88
16,18-10-27
17,24-91-92
18,60-76-16-8
19,65-99-94-39-86-85-12-55
20,35-49-54-98-94-85
21,99-24-91-92-1-72
22,77-53-32
23,45-50-61-89
24,17-21-91-92-97-41-91-92
25,80-3-3-7-26-51
26,80-3-25
27,58-73-83-88-71-16
28,15
29,60-76-95-14-10
30,8-6-69-66
31,34-78-12-55
32,22-53-42
33,79-4-59-81-43-57-63
34,31-49-54-98-78
35,20-85-49-54-98
36,41-13-64-77
37,2-48-56-80-44
38,56-45
39,86-65-47-19-86-12-55
40,5-11-11-58-73-83
41,24-91-92-36-13-64
42,32
43,1-72-57-4-59-81-84-57-33
44,67-2-48-80-0-87-37
45,23-38
46,67-93-96-52-93-96-0-87
47,39-86-95-65
48,84-4-59-81-2-2-44-37-0-87-67
49,34-54-98-85-12-55-20-35-54-98
50,61-89-23-61-89
51,80-7-82-3-25-70
52,77-46-93-96
53,22-32
54,34-49-49-98-85-12-55-20-35-98
55,49-54-98-31-12-12-19-39-86-94-85
56,79-38-37
57,1-72-43-43-4-59-81-84-33
58,11-40-73-83-27-10-73-83-88
59,43-57-33-4-4-81-2-48-67-84-81
60,76-18-95-76-14-29-10
61,50-50-89-23-89
62,9-68-74-75-74
63,79-33
64,90-41-13-13-36
65,19-39-86-1-72-47
66,8-75-69-6-30-90
67,97-84-4-59-81-0-87-44-46-93-96-2-48
68,9-9-62-74
69,30-66-90-6
70,82-5-7-51
71,15-27-88
72,99-65-1-1-43-57-21
73,11-40-58-58-83-27-10-83-88
74,9-68-62-62-75
75,62-74-90-66
76,60-60-18-95-14-29-10
77,36-22-52
78,7-31-34
79,33-63-56
80,0-87-44-37-3-25-51-26
81,43-57-33-4-59-4-59-2-48-67-84
82,7-5-51-70
83,11-40-58-73-58-73-27-10-88
84,43-57-67-2-48-97-4-59-81
85,35-49-54-98-94-19-20-12-55
86,39-39-65-47-19-12-55
87,67-2-48-0-0-80-46-93-96-44
88,15-27-58-73-83-71
89,50-61-50-61-23
90,75-13-64-69-66
91,17-21-24-24-92-97-41-92
92,17-21-24-91-24-91-97-41
93,67-46-46-96-52-96-0-87
94,99-19-20-85-12-55
95,47-60-76-14-29
96,67-46-93-46-93-52-0-87
97,24-91-92-67-84
98,34-49-54-49-54-85-12-55-20-35
99,94-19-21-1-72
